"order_id","customer_id","order_date","total_amount_idr","shipping_city","shipping_province","shipping_cost_idr","payment_method","order_status","promo_code","discount_amount_idr","courier"
ORD000045,CUST0353,"2022-10-14",152424,Malang,Jawa Timur,16206,Transfer Bank,cancelled,NEWUSER,26576,JNE
ORD000049,CUST0679,"2023-08-31",108780,Padang,Sumatera Barat,24801,Transfer Bank,delivered,MEMBER10,19220,JNE
ORD000050,CUST0291,"2023-07-25",463402,Denpasar,Bali,28676,Transfer Bank,delivered,HARI BELANJA,35598,J&T
ORD000051,CUST0277,"2023-04-15",1040543,Jakarta,DKI Jakarta,11199,Transfer Bank,delivered,MEMBER10,36457,JNE
ORD000052,CUST0021,"2022-02-08",484546,Denpasar,Bali,24002,Kartu Kredit,shipped,HARBOLNAS22,31454,J&T
ORD000053,CUST0787,"2024-09-14",228576,Tangerang,Banten,9011,GoPay,delivered,WEEKEND25,49424,SiCepat
ORD000056,CUST0106,"2024-09-15",225298,Palembang,Sumatera Selatan,25616,OVO,delivered,HARI BELANJA,23702,JNE
ORD000059,CUST0570,"2024-01-24",208667,Makassar,Sulawesi Selatan,40276,OVO,shipped,SALE2024,29333,JNE
ORD000061,CUST0486,"2023-03-12",870559,Yogyakarta,DI Yogyakarta,14434,OVO,cancelled,SALE2024,27441,JNE
ORD000062,CUST0731,"2024-09-29",428704,Balikpapan,Kalimantan Timur,44760,QRIS,cancelled,HARI BELANJA,28296,Anteraja
ORD000064,CUST0056,"2023-12-18",622240,Medan,Sumatera Utara,34176,GoPay,cancelled,SALE2024,25760,J&T
ORD000069,CUST0321,"2023-02-26",129132,Malang,Jawa Timur,20164,Transfer Bank,delivered,RAMADAN23,19868,J&T
ORD000070,CUST0180,"2024-05-17",122904,Tangerang,Banten,9347,GoPay,delivered,MEMBER10,26096,J&T
ORD000071,CUST0387,"2023-06-03",467921,Depok,Jawa Barat,13226,Transfer Bank,delivered,NEWUSER,31079,J&T
ORD000073,CUST0629,"2024-10-12",660432,Padang,Sumatera Barat,24278,Kartu Kredit,processing,WEEKEND25,26568,Pos Indonesia
ORD000077,CUST0400,"2023-11-13",319744,Manado,Sulawesi Utara,44292,GoPay,delivered,SALE2024,29256,Anteraja
ORD000078,CUST0197,"2025-01-22",1062859,Depok,Jawa Barat,12090,GoPay,processing,RAMADAN23,34141,Anteraja
ORD000079,CUST0248,"2024-09-17",530836,Pekanbaru,Riau,26512,GoPay,returned,NEWUSER,24164,J&T
ORD000080,CUST0214,"2025-02-07",113515,Denpasar,Bali,29619,GoPay,shipped,HARI BELANJA,44485,J&T
ORD000081,CUST0478,"2024-02-18",216431,Palembang,Sumatera Selatan,25254,Transfer Bank,delivered,NEWUSER,12569,SiCepat
ORD000085,CUST0697,"2023-06-20",533274,Bandung,Jawa Barat,11097,Kartu Kredit,delivered,WEEKEND25,44726,SiCepat
ORD000086,CUST0489,"2023-01-19",567033,Depok,Jawa Barat,12336,Transfer Bank,processing,MEMBER10,31967,JNE
ORD000090,CUST0188,"2023-02-16",639659,Padang,Sumatera Barat,31950,GoPay,delivered,MEMBER10,46341,Anteraja
ORD000092,CUST0630,"2024-01-04",825967,Bandung,Jawa Barat,13698,OVO,delivered,SALE2024,11033,SiCepat
ORD000098,CUST0371,"2024-09-05",1114630,Bandung,Jawa Barat,14596,Kartu Kredit,processing,WEEKEND25,32370,Pos Indonesia
ORD000099,CUST0031,"2024-03-13",134229,Pontianak,Kalimantan Barat,33877,GoPay,delivered,WEEKEND25,14771,SiCepat
ORD000100,CUST0222,"2022-08-26",649499,Manado,Sulawesi Utara,43010,Kartu Kredit,cancelled,NEWUSER,27501,SiCepat
ORD000102,CUST0399,"2022-01-04",941751,Depok,Jawa Barat,13127,Transfer Bank,delivered,MEMBER10,15249,JNE
ORD000103,CUST0301,"2024-02-28",473549,Tangerang,Banten,9445,GoPay,processing,FLASHSALE,24451,Anteraja
ORD000114,CUST0717,"2022-08-08",275109,Banjarmasin,Kalimantan Selatan,40777,Kartu Kredit,cancelled,NEWUSER,32891,JNE
ORD000118,CUST0339,"2024-10-23",266041,Semarang,Jawa Tengah,17425,Kartu Kredit,delivered,FLASHSALE,49959,SiCepat
ORD000119,CUST0525,"2024-02-21",977668,Bogor,Jawa Barat,12840,GoPay,delivered,WEEKEND25,39332,J&T
ORD000121,CUST0473,"2023-09-16",955632,Banjarmasin,Kalimantan Selatan,30456,Kartu Kredit,delivered,NEWUSER,42368,J&T
ORD000123,CUST0370,"2024-07-13",83455,Palembang,Sumatera Selatan,27437,OVO,delivered,FLASHSALE,34545,JNE
ORD000124,CUST0275,"2023-09-13",163351,Bandung,Jawa Barat,13228,Transfer Bank,delivered,MEMBER10,35649,SiCepat
ORD000126,CUST0495,"2023-06-13",801305,Manado,Sulawesi Utara,41428,Transfer Bank,cancelled,RAMADAN23,46695,JNE
ORD000128,CUST0295,"2024-04-01",1052821,Manado,Sulawesi Utara,42291,OVO,cancelled,NEWUSER,44179,Anteraja
ORD000130,CUST0208,"2022-12-06",328191,Manado,Sulawesi Utara,35513,Kartu Kredit,delivered,MEMBER10,19809,SiCepat
ORD000133,CUST0571,"2024-07-14",483563,Manado,Sulawesi Utara,37315,Kartu Kredit,delivered,FLASHSALE,43437,J&T
ORD000134,CUST0346,"2025-02-18",433562,Medan,Sumatera Utara,37007,OVO,returned,RAMADAN23,15438,SiCepat
ORD000136,CUST0075,"2025-01-21",132592,Medan,Sumatera Utara,38095,GoPay,delivered,WEEKEND25,46408,JNE
ORD000138,CUST0653,"2024-12-31",1105671,Denpasar,Bali,26771,Transfer Bank,delivered,NEWUSER,21329,J&T
ORD000140,CUST0426,"2023-03-07",16057,Makassar,Sulawesi Selatan,37588,GoPay,delivered,SALE2024,32943,SiCepat
ORD000144,CUST0759,"2023-03-31",461976,Malang,Jawa Timur,17498,Kartu Kredit,shipped,FLASHSALE,26024,J&T
ORD000150,CUST0358,"2024-12-24",632626,Bekasi,Jawa Barat,12049,OVO,delivered,WEEKEND25,15374,JNE
ORD000153,CUST0482,"2022-11-19",62123,Bandung,Jawa Barat,14986,QRIS,delivered,HARI BELANJA,36877,JNE
ORD000154,CUST0478,"2024-03-02",1058739,Palembang,Sumatera Selatan,34638,OVO,delivered,HARBOLNAS22,39261,JNE
ORD000155,CUST0140,"2024-11-24",203863,Padang,Sumatera Barat,28074,Transfer Bank,shipped,NEWUSER,45137,SiCepat
ORD000159,CUST0235,"2025-01-05",528766,Tangerang,Banten,12472,QRIS,delivered,RAMADAN23,20234,J&T
ORD000161,CUST0454,"2024-02-14",118504,Makassar,Sulawesi Selatan,39679,Transfer Bank,delivered,SALE2024,10496,JNE
ORD000162,CUST0228,"2024-05-02",541623,Malang,Jawa Timur,15021,Transfer Bank,delivered,FLASHSALE,34377,Anteraja
ORD000167,CUST0295,"2023-09-09",239718,Manado,Sulawesi Utara,35268,Kartu Kredit,delivered,FLASHSALE,39282,SiCepat
ORD000170,CUST0436,"2022-06-21",41785,Balikpapan,Kalimantan Timur,42371,Transfer Bank,delivered,HARBOLNAS22,27215,J&T
ORD000171,CUST0600,"2023-09-03",385229,Manado,Sulawesi Utara,44407,OVO,shipped,SALE2024,12771,SiCepat
ORD000182,CUST0277,"2024-10-22",281050,Malang,Jawa Timur,21404,GoPay,delivered,RAMADAN23,26950,SiCepat
ORD000183,CUST0091,"2024-07-04",365798,Makassar,Sulawesi Selatan,30721,GoPay,delivered,WEEKEND25,33202,JNE
ORD000185,CUST0273,"2023-05-05",90964,Yogyakarta,DI Yogyakarta,13095,Transfer Bank,delivered,WEEKEND25,28036,J&T
ORD000186,CUST0556,"2024-01-17",316552,Palembang,Sumatera Selatan,26356,GoPay,delivered,HARI BELANJA,49448,J&T
ORD000187,CUST0590,"2022-01-20",1262864,Bandung,Jawa Barat,12456,Transfer Bank,returned,NEWUSER,41136,JNE
ORD000190,CUST0065,"2023-12-16",716741,Bandung,Jawa Barat,14225,Transfer Bank,delivered,WEEKEND25,40259,J&T
ORD000195,CUST0727,"2024-02-17",207274,Semarang,Jawa Tengah,14684,GoPay,delivered,MEMBER10,21726,J&T
ORD000196,CUST0049,"2023-07-13",151821,Manado,Sulawesi Utara,36488,Kartu Kredit,shipped,WEEKEND25,27179,J&T
ORD000197,CUST0166,"2022-05-11",333535,Tangerang,Banten,11983,GoPay,delivered,FLASHSALE,24465,J&T
ORD000200,CUST0463,"2023-08-23",532952,Jakarta,DKI Jakarta,9272,GoPay,processing,RAMADAN23,16048,SiCepat
ORD000204,CUST0748,"2023-09-02",36006,Denpasar,Bali,25740,QRIS,shipped,NEWUSER,42994,J&T
ORD000208,CUST0171,"2023-01-07",69237,Balikpapan,Kalimantan Timur,38829,GoPay,delivered,RAMADAN23,49763,JNE
ORD000209,CUST0397,"2025-01-09",754974,Balikpapan,Kalimantan Timur,40409,Transfer Bank,delivered,NEWUSER,30026,Pos Indonesia
ORD000210,CUST0013,"2022-12-26",316368,Makassar,Sulawesi Selatan,31701,GoPay,shipped,WEEKEND25,32632,J&T
ORD000214,CUST0137,"2024-02-09",531514,Makassar,Sulawesi Selatan,34158,GoPay,delivered,NEWUSER,46486,JNE
ORD000216,CUST0177,"2024-09-30",537934,Bekasi,Jawa Barat,13735,OVO,delivered,HARBOLNAS22,11066,JNE
ORD000224,CUST0553,"2023-09-17",277164,Manado,Sulawesi Utara,33938,GoPay,returned,WEEKEND25,21836,SiCepat
ORD000227,CUST0468,"2023-02-22",229972,Surabaya,Jawa Timur,15999,Transfer Bank,shipped,WEEKEND25,19028,SiCepat
ORD000230,CUST0752,"2022-11-13",1176360,Palembang,Sumatera Selatan,33536,Kartu Kredit,delivered,HARI BELANJA,21640,Pos Indonesia
ORD000236,CUST0423,"2023-10-09",424673,Padang,Sumatera Barat,31736,Kartu Kredit,delivered,RAMADAN23,12327,SiCepat
ORD000239,CUST0764,"2023-04-19",509400,Pontianak,Kalimantan Barat,39759,QRIS,cancelled,MEMBER10,36600,Anteraja
ORD000240,CUST0142,"2024-06-11",38550,Pontianak,Kalimantan Barat,41374,GoPay,delivered,WEEKEND25,20450,JNE
ORD000241,CUST0211,"2024-12-27",349673,Denpasar,Bali,20557,GoPay,delivered,HARBOLNAS22,49327,SiCepat
ORD000243,CUST0399,"2022-12-06",68958,Banjarmasin,Kalimantan Selatan,28389,GoPay,shipped,SALE2024,10042,Anteraja
ORD000244,CUST0085,"2024-03-15",157001,Manado,Sulawesi Utara,37854,Kartu Kredit,delivered,NEWUSER,21999,JNE
ORD000248,CUST0439,"2022-10-23",551254,Malang,Jawa Timur,14527,Transfer Bank,delivered,SALE2024,45746,SiCepat
ORD000252,CUST0777,"2024-03-11",126965,Medan,Sumatera Utara,28571,Transfer Bank,delivered,WEEKEND25,22035,JNE
ORD000253,CUST0293,"2022-09-09",849559,Tangerang,Banten,9500,OVO,shipped,HARBOLNAS22,47441,J&T
ORD000258,CUST0712,"2024-01-30",463575,Padang,Sumatera Barat,25488,Kartu Kredit,processing,SALE2024,14425,JNE
ORD000259,CUST0362,"2025-01-17",267222,Jakarta,DKI Jakarta,10002,OVO,shipped,FLASHSALE,31778,J&T
ORD000262,CUST0177,"2024-05-11",99697,Malang,Jawa Timur,21096,Transfer Bank,delivered,NEWUSER,29303,J&T
ORD000264,CUST0592,"2024-04-23",538443,Bandung,Jawa Barat,11036,OVO,shipped,SALE2024,18557,JNE
ORD000267,CUST0626,"2024-03-25",408856,Jakarta,DKI Jakarta,8093,OVO,returned,SALE2024,48144,JNE
ORD000268,CUST0768,"2025-01-04",45695,Jakarta,DKI Jakarta,9079,Transfer Bank,returned,RAMADAN23,23305,J&T
ORD000269,CUST0122,"2023-01-17",1372273,Bandung,Jawa Barat,13324,OVO,delivered,WEEKEND25,33727,SiCepat
ORD000274,CUST0674,"2024-11-13",712101,Banjarmasin,Kalimantan Selatan,31293,OVO,processing,HARBOLNAS22,33899,Anteraja
ORD000277,CUST0278,"2023-12-20",153907,Balikpapan,Kalimantan Timur,36263,QRIS,delivered,HARBOLNAS22,45093,JNE
ORD000284,CUST0168,"2024-11-01",362766,Banjarmasin,Kalimantan Selatan,34732,Kartu Kredit,cancelled,WEEKEND25,36234,SiCepat
ORD000285,CUST0699,"2023-04-07",1522617,Medan,Sumatera Utara,26826,Transfer Bank,delivered,HARBOLNAS22,12383,SiCepat
ORD000287,CUST0127,"2024-04-25",75046,Depok,Jawa Barat,9711,GoPay,delivered,SALE2024,43954,JNE
ORD000289,CUST0361,"2024-11-22",363172,Pekanbaru,Riau,25844,Transfer Bank,delivered,MEMBER10,33828,SiCepat
ORD000291,CUST0399,"2024-02-25",402413,Banjarmasin,Kalimantan Selatan,30595,Kartu Kredit,delivered,NEWUSER,46587,JNE
ORD000296,CUST0279,"2023-08-09",133599,Surabaya,Jawa Timur,13935,Transfer Bank,shipped,RAMADAN23,24401,JNE
ORD000297,CUST0794,"2023-07-22",27796,Pekanbaru,Riau,26699,OVO,delivered,MEMBER10,41204,SiCepat
ORD000302,CUST0076,"2023-08-29",451201,Tangerang,Banten,9654,Kartu Kredit,returned,FLASHSALE,47799,JNE
ORD000304,CUST0392,"2023-04-01",257131,Manado,Sulawesi Utara,42435,GoPay,delivered,FLASHSALE,41869,JNE
ORD000306,CUST0314,"2023-11-25",161041,Medan,Sumatera Utara,31568,Transfer Bank,delivered,FLASHSALE,37959,J&T
ORD000307,CUST0708,"2025-02-28",11970,Medan,Sumatera Utara,25377,GoPay,delivered,MEMBER10,47030,SiCepat
ORD000309,CUST0608,"2023-01-06",89996,Manado,Sulawesi Utara,33804,Transfer Bank,delivered,FLASHSALE,29004,J&T
ORD000311,CUST0300,"2024-05-23",1087317,Medan,Sumatera Utara,26195,Kartu Kredit,delivered,HARI BELANJA,28683,JNE
ORD000313,CUST0620,"2024-12-30",979541,Yogyakarta,DI Yogyakarta,17715,OVO,delivered,HARI BELANJA,18459,SiCepat
ORD000315,CUST0380,"2023-10-05",51870,Makassar,Sulawesi Selatan,30610,Transfer Bank,delivered,NEWUSER,47130,JNE
ORD000317,CUST0644,"2024-08-31",276604,Medan,Sumatera Utara,32049,QRIS,delivered,MEMBER10,22396,J&T
ORD000318,CUST0266,"2024-07-13",483227,Jakarta,DKI Jakarta,8296,Transfer Bank,delivered,NEWUSER,22773,J&T
ORD000322,CUST0376,"2025-01-06",203680,Pontianak,Kalimantan Barat,32592,GoPay,delivered,SALE2024,25320,J&T
ORD000324,CUST0752,"2024-11-29",102674,Palembang,Sumatera Selatan,29475,GoPay,processing,FLASHSALE,26326,J&T
ORD000325,CUST0767,"2022-05-21",1378362,Palembang,Sumatera Selatan,22918,Transfer Bank,cancelled,MEMBER10,18638,Anteraja
ORD000329,CUST0550,"2024-08-05",293751,Depok,Jawa Barat,12843,OVO,delivered,FLASHSALE,35249,Anteraja
ORD000333,CUST0258,"2024-03-20",427193,Yogyakarta,DI Yogyakarta,19261,Transfer Bank,delivered,MEMBER10,19807,JNE
ORD000334,CUST0148,"2022-03-13",796980,Surabaya,Jawa Timur,17612,Kartu Kredit,delivered,MEMBER10,39020,SiCepat
ORD000337,CUST0759,"2023-04-09",1984180,Malang,Jawa Timur,21547,GoPay,delivered,SALE2024,11820,JNE
ORD000339,CUST0412,"2023-04-15",252013,Depok,Jawa Barat,10262,OVO,delivered,FLASHSALE,26987,SiCepat
ORD000341,CUST0722,"2024-02-27",121721,Jakarta,DKI Jakarta,8724,Kartu Kredit,delivered,FLASHSALE,45279,SiCepat
ORD000343,CUST0399,"2023-05-25",263871,Banjarmasin,Kalimantan Selatan,41710,OVO,delivered,FLASHSALE,44129,J&T
ORD000344,CUST0336,"2024-07-21",481674,Jakarta,DKI Jakarta,11873,Kartu Kredit,shipped,SALE2024,17326,SiCepat
ORD000347,CUST0603,"2024-10-09",111328,Padang,Sumatera Barat,32631,Transfer Bank,delivered,WEEKEND25,37672,SiCepat
ORD000348,CUST0420,"2022-12-24",238748,Makassar,Sulawesi Selatan,30034,Transfer Bank,delivered,RAMADAN23,10252,JNE
ORD000349,CUST0330,"2024-06-26",97799,Semarang,Jawa Tengah,14001,Kartu Kredit,cancelled,WEEKEND25,21201,J&T
ORD000357,CUST0547,"2023-03-20",337409,Manado,Sulawesi Utara,33543,Transfer Bank,delivered,WEEKEND25,10591,J&T
ORD000358,CUST0783,"2023-05-29",668377,Tangerang,Banten,13979,Transfer Bank,delivered,HARI BELANJA,47623,J&T
ORD000361,CUST0547,"2022-07-10",386251,Semarang,Jawa Tengah,16372,Transfer Bank,delivered,HARBOLNAS22,20749,JNE
ORD000362,CUST0409,"2022-08-02",1416965,Bekasi,Jawa Barat,11374,OVO,cancelled,NEWUSER,10035,JNE
ORD000363,CUST0570,"2024-10-18",321737,Makassar,Sulawesi Selatan,40907,Kartu Kredit,delivered,RAMADAN23,46263,J&T
ORD000365,CUST0413,"2022-10-12",212522,Padang,Sumatera Barat,24283,QRIS,returned,HARI BELANJA,45478,J&T
ORD000366,CUST0681,"2024-05-14",586954,Surabaya,Jawa Timur,12424,GoPay,delivered,HARBOLNAS22,12046,SiCepat
ORD000368,CUST0045,"2023-05-22",980344,Bandung,Jawa Barat,13456,OVO,cancelled,SALE2024,17656,SiCepat
ORD000369,CUST0332,"2025-02-28",1969052,Palembang,Sumatera Selatan,27167,QRIS,processing,HARBOLNAS22,26948,JNE
ORD000373,CUST0549,"2024-12-08",129829,Bekasi,Jawa Barat,13552,GoPay,shipped,FLASHSALE,19171,J&T
ORD000375,CUST0653,"2022-05-20",154337,Denpasar,Bali,27343,GoPay,delivered,HARI BELANJA,44663,JNE
ORD000376,CUST0750,"2024-12-10",1142541,Bogor,Jawa Barat,13778,Transfer Bank,delivered,HARI BELANJA,43459,SiCepat
ORD000378,CUST0438,"2025-02-17",426945,Surabaya,Jawa Timur,13434,Kartu Kredit,delivered,WEEKEND25,22055,J&T
ORD000379,CUST0324,"2024-06-06",753680,Balikpapan,Kalimantan Timur,41329,GoPay,delivered,HARI BELANJA,22320,SiCepat
ORD000380,CUST0300,"2023-07-16",422354,Medan,Sumatera Utara,32851,GoPay,delivered,MEMBER10,34646,JNE
ORD000382,CUST0492,"2023-01-18",957997,Bekasi,Jawa Barat,10341,Transfer Bank,delivered,MEMBER10,40003,J&T
ORD000383,CUST0597,"2023-03-18",848740,Tangerang,Banten,13016,GoPay,shipped,HARI BELANJA,48260,J&T
ORD000384,CUST0474,"2024-10-22",665457,Bandung,Jawa Barat,11127,Transfer Bank,delivered,MEMBER10,31543,SiCepat
ORD000388,CUST0600,"2023-06-03",1105691,Pontianak,Kalimantan Barat,38764,GoPay,delivered,WEEKEND25,11309,SiCepat
ORD000389,CUST0765,"2024-02-19",654092,Makassar,Sulawesi Selatan,39576,Transfer Bank,delivered,FLASHSALE,32908,Anteraja
ORD000391,CUST0212,"2023-06-30",833045,Semarang,Jawa Tengah,16349,GoPay,delivered,NEWUSER,13955,J&T
ORD000392,CUST0722,"2022-06-18",53714,Jakarta,DKI Jakarta,11579,QRIS,processing,FLASHSALE,35286,J&T
ORD000394,CUST0246,"2023-03-15",304841,Depok,Jawa Barat,10297,GoPay,delivered,SALE2024,44159,SiCepat
ORD000396,CUST0651,"2025-02-27",1072334,Pontianak,Kalimantan Barat,34116,QRIS,delivered,WEEKEND25,23666,SiCepat
ORD000401,CUST0036,"2023-04-19",572946,Balikpapan,Kalimantan Timur,38564,QRIS,delivered,NEWUSER,24054,JNE
ORD000403,CUST0024,"2023-03-13",385717,Makassar,Sulawesi Selatan,34333,Kartu Kredit,returned,RAMADAN23,12283,Anteraja
ORD000404,CUST0742,"2024-08-15",531901,Bandung,Jawa Barat,12199,Kartu Kredit,delivered,NEWUSER,46099,JNE
ORD000407,CUST0177,"2023-02-18",614325,Surabaya,Jawa Timur,12290,Transfer Bank,delivered,SALE2024,13675,J&T
ORD000409,CUST0557,"2024-01-11",212832,Tangerang,Banten,13955,GoPay,delivered,HARI BELANJA,24168,J&T
ORD000411,CUST0671,"2023-03-06",1004939,Malang,Jawa Timur,20588,Kartu Kredit,delivered,RAMADAN23,41061,Anteraja
ORD000412,CUST0007,"2023-05-08",185566,Medan,Sumatera Utara,27370,Kartu Kredit,processing,SALE2024,32434,JNE
ORD000414,CUST0486,"2024-07-20",499503,Yogyakarta,DI Yogyakarta,18524,Transfer Bank,shipped,HARI BELANJA,49497,J&T
ORD000415,CUST0308,"2024-01-22",88051,Denpasar,Bali,25651,Kartu Kredit,delivered,RAMADAN23,30949,J&T
ORD000417,CUST0527,"2024-03-07",102002,Malang,Jawa Timur,14481,QRIS,delivered,RAMADAN23,46998,JNE
ORD000421,CUST0504,"2024-12-05",62569,Tangerang,Banten,11693,Transfer Bank,delivered,MEMBER10,36431,JNE
ORD000425,CUST0561,"2023-05-13",658793,Yogyakarta,DI Yogyakarta,13415,Transfer Bank,delivered,NEWUSER,39207,SiCepat
ORD000427,CUST0681,"2022-06-07",192496,Surabaya,Jawa Timur,13959,Transfer Bank,delivered,MEMBER10,36504,J&T
ORD000428,CUST0443,"2023-12-02",414358,Depok,Jawa Barat,13509,Transfer Bank,cancelled,NEWUSER,43642,SiCepat
ORD000430,CUST0479,"2023-06-21",552299,Bogor,Jawa Barat,12552,Transfer Bank,cancelled,RAMADAN23,46701,J&T
ORD000435,CUST0671,"2023-03-15",175568,Malang,Jawa Timur,15792,Kartu Kredit,delivered,HARI BELANJA,23432,SiCepat
ORD000436,CUST0750,"2023-03-09",234990,Bogor,Jawa Barat,14573,QRIS,delivered,HARI BELANJA,22010,Pos Indonesia
ORD000437,CUST0404,"2023-01-17",700211,Makassar,Sulawesi Selatan,36853,OVO,delivered,HARI BELANJA,36789,J&T
ORD000438,CUST0559,"2023-05-26",355560,Bogor,Jawa Barat,13877,GoPay,delivered,RAMADAN23,43440,JNE
ORD000440,CUST0561,"2023-02-05",278886,Yogyakarta,DI Yogyakarta,19476,OVO,processing,WEEKEND25,28114,SiCepat
ORD000447,CUST0776,"2023-03-25",347383,Tangerang,Banten,9417,OVO,delivered,FLASHSALE,10617,J&T
ORD000449,CUST0779,"2022-04-15",187959,Medan,Sumatera Utara,31807,Transfer Bank,delivered,NEWUSER,49041,SiCepat
ORD000451,CUST0109,"2024-01-06",215276,Malang,Jawa Timur,18481,Transfer Bank,shipped,MEMBER10,22724,J&T
ORD000452,CUST0787,"2022-07-31",686695,Tangerang,Banten,9995,GoPay,delivered,HARI BELANJA,11305,Pos Indonesia
ORD000457,CUST0237,"2024-10-28",278987,Banjarmasin,Kalimantan Selatan,33076,GoPay,delivered,WEEKEND25,18013,J&T
ORD000458,CUST0328,"2023-09-11",239220,Makassar,Sulawesi Selatan,42532,QRIS,delivered,RAMADAN23,18780,J&T
ORD000459,CUST0240,"2024-10-16",209484,Yogyakarta,DI Yogyakarta,15796,GoPay,delivered,MEMBER10,38516,Anteraja
ORD000460,CUST0777,"2024-06-25",430972,Medan,Sumatera Utara,37667,GoPay,delivered,HARI BELANJA,18028,J&T
ORD000461,CUST0371,"2023-05-25",825830,Bandung,Jawa Barat,14354,QRIS,processing,HARBOLNAS22,22170,J&T
ORD000462,CUST0453,"2023-02-27",34392,Malang,Jawa Timur,20935,GoPay,delivered,WEEKEND25,44608,JNE
ORD000467,CUST0619,"2024-08-07",421033,Yogyakarta,DI Yogyakarta,19080,Transfer Bank,cancelled,FLASHSALE,36967,J&T
ORD000470,CUST0180,"2025-01-16",373251,Tangerang,Banten,9614,Kartu Kredit,processing,SALE2024,13749,SiCepat
ORD000472,CUST0593,"2022-10-28",1628926,Yogyakarta,DI Yogyakarta,13242,Kartu Kredit,shipped,HARI BELANJA,15074,Pos Indonesia
ORD000480,CUST0106,"2024-03-20",294161,Palembang,Sumatera Selatan,25050,Kartu Kredit,cancelled,SALE2024,32839,SiCepat
ORD000485,CUST0770,"2024-06-30",481839,Pontianak,Kalimantan Barat,38072,Transfer Bank,delivered,HARBOLNAS22,35161,JNE
ORD000489,CUST0276,"2023-03-09",446372,Balikpapan,Kalimantan Timur,32723,OVO,delivered,RAMADAN23,29628,SiCepat
ORD000495,CUST0327,"2024-02-26",107990,Denpasar,Bali,22765,OVO,delivered,WEEKEND25,21010,Anteraja
ORD000496,CUST0776,"2024-05-15",1009663,Bekasi,Jawa Barat,12368,Transfer Bank,processing,MEMBER10,47337,Anteraja
ORD000497,CUST0588,"2023-01-26",215552,Jakarta,DKI Jakarta,10876,OVO,delivered,FLASHSALE,13448,SiCepat
ORD000498,CUST0595,"2023-04-06",233693,Surabaya,Jawa Timur,14335,OVO,delivered,NEWUSER,45307,JNE
ORD000500,CUST0039,"2023-05-13",1101041,Semarang,Jawa Tengah,17612,OVO,processing,FLASHSALE,24959,JNE
ORD000501,CUST0475,"2023-05-14",89446,Palembang,Sumatera Selatan,28973,OVO,cancelled,MEMBER10,28554,SiCepat
ORD000505,CUST0177,"2023-03-02",147030,Malang,Jawa Timur,18590,Transfer Bank,delivered,WEEKEND25,31970,SiCepat
ORD000506,CUST0202,"2024-07-19",291605,Banjarmasin,Kalimantan Selatan,37343,Kartu Kredit,delivered,SALE2024,37395,J&T
ORD000508,CUST0321,"2023-05-06",121840,Makassar,Sulawesi Selatan,41896,Transfer Bank,delivered,RAMADAN23,27160,J&T
ORD000509,CUST0689,"2023-05-16",764971,Bogor,Jawa Barat,10768,Transfer Bank,delivered,HARI BELANJA,33029,Pos Indonesia
